Complexity,Loss,Equation
2,0.0027040025968939493,"A = 0.010838534812448097; phi = -1.107656767864793"
3,0.002696742896815278,"A = -0.007998636536214843; phi = sqrt(#1)"
4,0.00239323029895537,"A = 0.02586472619814265; phi = #1 * 0.9039343579510734"
6,0.0013042809888897536,"A = -0.05359052924914854; phi = (5638.0863386663905 / #1) + #1"
8,0.0011680208922108368,"A = -0.05560867804602374; phi = (5391.771393152509 / (#1 + -6.835859875576105)) + #1"
10,0.0004257976689991654,"A = -0.06837453529623565; phi = ((3897.188275195298 / (#1 + -28.238870643172117)) + -1.2294358643906418) + #1"
12,0.00019255435131544505,"A = 12.254618076143494 / #1; phi = ((3919.0597074557572 / (#1 + -27.854840498471383)) + #1) + 1.83028037626692"
14,0.0001925131815745456,"A = 12.253635563575886 / (#1 - 0.3771046573780986); phi = (1.8279112017031989 + (3919.0608583542266 / (-27.860246177964758 + #1))) + #1"
16,0.00019172494703417048,"A = -12.26824374348748 / #1; phi = (#1 + (3922.391710999011 / ((#1 - (9.131477708436318 / #1)) + -27.696357321905147))) + -1.3105996655283298"
17,0.00019007756640495148,"A = -12.280421310585908 / #1; phi = (#1 + -1.1997613292327454) + ((3922.584148559658 / (#1 + -27.914277063015465)) - (2.1120153798018015 / sqrt(#1)))"
20,0.00017616616886326848,"A = -12.320026585136036 / #1; phi = #1 + ((3922.5675958815327 / (#1 + (-27.708848879662828 - (2.147660461001535 / (#1 - (7845.176035400898 / #1)))))) + -1.315041313892531)"
22,0.00016157757564012667,"A = -12.288094970848368 / #1; phi = (#1 + (3922.587724915715 / (-27.698973783818 + (#1 - (2.3936997363505994 / (#1 - (3922.587724915715 / (0.4651995983486447 * #1)))))))) + -1.3631130447126754"
23,0.0001563746810915133,"A = -12.288085817973203 / #1; phi = (#1 + (3922.5821774992537 / ((#1 + -27.693561936170305) - sqrt(0.8647392188348915 / (#1 - (3922.587724586904 / (#1 * 0.4407565877774627))))))) + -1.3666471898093397"
24,0.00013913683460660252,"A = -12.288239585406018 / #1; phi = (-1.3067709233448361 + #1) + (3922.5814305736135 / ((#1 + -27.57260334340515) - (2.1303851305013053 / (#1 - (3922.587723187098 / ((#1 + -27.793946760891547) * 0.6300447711225182))))))"
26,0.00012909868108369686,"A = -12.290201395692021 / #1; phi = #1 + ((3922.5810931320143 / ((#1 + -27.532220226895863) - (2.224026787865308 / ((#1 - (3922.5877006837422 / (-27.792636312404255 + (#1 * 0.7522358225910117)))) / 2.224026787865308)))) + -1.310284162654133)"
28,0.0001254572374030115,"A = -12.290093778022896 / (#1 + -1.0408015927633691); phi = #1 + ((3922.580073659285 / ((-27.46521989472925 - (2.2239225098486077 / ((#1 - (3922.5877014104117 / ((#1 * 0.7474613058001294) + -27.792664508862934))) / 2.2239225098486077))) + #1)) + -1.3188948932316242)"
29,0.00010077083403147661,"A = -12.20584370972555 / #1; phi = #1 - ((3922.573251445671 / ((#1 + -27.026194304741505) - (sqrt(#1) / (((-3923.737250790417 / (#1 * 0.6975826668138738)) + -28.950893581605868) + #1)))) + ((#1 + #1) + -1.224385595295267))"
33,9.995438257043146e-5,"A = -12.208633346524222 / (#1 + -2.1759680641060637); phi = ((#1 + (#1 + -1.1845541443737029)) + (3922.5730869841886 / ((#1 + -27.001701315149077) - (sqrt(#1) / ((-3923.7372390248465 / ((#1 * 0.7665919027672806) + -27.7917277724737)) + (#1 + -1.158231349050726)))))) - #1"
37,9.934511874090508e-5,"A = #1 + ((-12.214335716907248 / (#1 + -2.1081663974231417)) - #1); phi = #1 - ((((3922.572502617661 / ((-26.955818756437637 - (sqrt(#1) / ((#1 + (-3923.737241191769 / ((#1 * 0.7646877584434363) + -27.79147346446253))) + -1.2841147731715838))) + #1)) + #1) + #1) + -1.171101287719774)"
